JDHEL V-C s1 V-K1 s2 C-K1 s3
Aperture: 11, Filter: SDSS r, JD: geocentric
2458853.5910532 -0.64142 0.00796 -0.76094 0.00879 -0.11953 0.01052
2458853.5916435 -0.63450 0.00785 -0.78066 0.00859 -0.14616 0.01036
2458853.5922106 -0.65356 0.00783 -0.77541 0.00852 -0.12184 0.01022
2458853.5927894 -0.63744 0.00796 -0.75919 0.00841 -0.12176 0.01030
2458853.5933912 -0.63963 0.00782 -0.77504 0.00889 -0.13541 0.01041
2458853.5939699 -0.62854 0.00793 -0.76042 0.00856 -0.13188 0.01027
2458853.5945602 -0.64515 0.00785 -0.77107 0.00857 -0.12592 0.01026
2458853.5951505 -0.63896 0.00780 -0.77153 0.00870 -0.13257 0.01037
2458853.5957292 -0.65059 0.00801 -0.77781 0.00881 -0.12722 0.01058
2458853.5963194 -0.62631 0.00778 -0.76356 0.00860 -0.13726 0.01023
2458853.5968866 -0.64694 0.00798 -0.76093 0.00867 -0.11399 0.01048
2458853.5974653 -0.63798 0.00778 -0.77188 0.00865 -0.13390 0.01031
2458853.5980440 -0.63844 0.00765 -0.76489 0.00862 -0.12646 0.01018
2458853.5986227 -0.64158 0.00780 -0.77510 0.00863 -0.13352 0.01036
2458853.5992130 -0.64651 0.00775 -0.77798 0.00869 -0.13147 0.01031
2458853.5998032 -0.63953 0.00775 -0.77039 0.00851 -0.13086 0.01018
2458853.6003935 -0.63533 0.00786 -0.76146 0.00861 -0.12614 0.01030
2458853.6009954 -0.63524 0.00778 -0.76401 0.00860 -0.12877 0.01024
2458853.6015741 -0.63415 0.00788 -0.77588 0.00858 -0.14172 0.01031
2458853.6021644 -0.64682 0.00795 -0.76919 0.00860 -0.12237 0.01040
2458853.6027662 -0.64923 0.00771 -0.78843 0.00861 -0.13920 0.01025
2458853.6033565 -0.62146 0.00777 -0.75734 0.00862 -0.13588 0.01025
2458853.6039931 -0.64841 0.00776 -0.76159 0.00858 -0.11318 0.01027
2458853.6045833 -0.63716 0.00783 -0.78841 0.00867 -0.15125 0.01038
2458853.6051852 -0.63733 0.00781 -0.77118 0.00868 -0.13385 0.01036
2458853.6057755 -0.64973 0.00779 -0.77816 0.00859 -0.12843 0.01031
2458853.6063657 -0.63272 0.00772 -0.77026 0.00848 -0.13754 0.01020
2458853.6069444 -0.63961 0.00774 -0.78563 0.00870 -0.14602 0.01034
2458853.6075347 -0.63788 0.00766 -0.77975 0.00861 -0.14187 0.01017
2458853.6081366 -0.64082 0.00774 99.99999 9.99999 99.99999 9.99999
2458853.6087269 -0.63869 0.00779 -0.76278 0.00864 -0.12409 0.01038
2458853.6092940 -0.64165 0.00787 -0.76921 0.00844 -0.12757 0.01023
2458853.6098958 -0.63257 0.00783 -0.75328 0.00858 -0.12071 0.01030
2458853.6104861 -0.64365 0.00778 -0.77740 0.00857 -0.13375 0.01024
2458853.6110764 -0.64470 0.00775 -0.77029 0.00844 -0.12559 0.01013
2458853.6116667 -0.64208 0.00778 -0.77166 0.00852 -0.12958 0.01026
